Latitude (decimal degrees):	53.424
Longitude (decimal degrees):	-6.252
Elevation (m):	61
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: 90 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,0.0,6.2,2.76,0.0
20230101:0111,0.0,0.0,0.0,0.0,6.08,3.31,0.0
20230101:0211,0.0,0.0,0.0,0.0,6.01,4.21,0.0
20230101:0311,0.0,0.0,0.0,0.0,6.14,4.62,0.0
20230101:0411,0.0,0.0,0.0,0.0,6.15,4.55,0.0
20230101:0511,0.0,0.0,0.0,0.0,6.24,4.34,0.0
20230101:0611,0.0,0.0,0.0,0.0,6.24,4.07,0.0
20230101:0711,0.0,0.0,0.0,0.0,6.33,3.1,0.0
20230101:0811,0.0,0.0,0.0,0.0,6.12,3.45,0.0
20230101:0911,0.0,4.27,1.2,2.49,6.06,3.72,0.0
20230101:1011,0.0,16.02,4.5,7.99,6.14,4.21,0.0
20230101:1111,0.0,30.62,8.6,11.75,6.54,4.34,0.0
20230101:1211,0.0,18.51,5.2,13.47,7.03,4.34,0.0
20230101:1311,0.0,25.92,5.2,13.01,7.1,4.0,0.0
20230101:1411,0.0,22.43,4.5,10.4,6.91,3.52,0.0
20230101:1511,0.0,3.99,0.8,5.86,6.61,3.38,0.0
20230101:1611,0.0,0.0,0.0,0.0,6.03,3.03,0.0
20230101:1711,0.0,0.0,0.0,0.0,5.35,3.03,0.0
20230101:1811,0.0,0.0,0.0,0.0,4.7,3.1,0.0
20230101:1911,0.0,0.0,0.0,0.0,4.81,2.9,0.0
20230101:2011,0.0,0.0,0.0,0.0,4.34,2.76,0.0
20230101:2111,0.0,0.0,0.0,0.0,4.32,2.69,0.0
20230101:2211,0.0,0.0,0.0,0.0,3.96,2.9,0.0
20230101:2311,0.0,0.0,0.0,0.0,3.88,3.03,0.0
20230102:0011,0.0,0.0,0.0,0.0,3.93,3.24,0.0
20230102:0111,0.0,0.0,0.0,0.0,3.88,3.45,0.0
20230102:0211,0.0,0.0,0.0,0.0,3.88,3.66,0.0
20230102:0311,0.0,0.0,0.0,0.0,3.61,3.59,0.0
20230102:0411,0.0,0.0,0.0,0.0,3.4,3.45,0.0
20230102:0511,0.0,0.0,0.0,0.0,3.05,3.24,0.0
20230102:0611,0.0,0.0,0.0,0.0,2.67,3.17,0.0
20230102:0711,0.0,0.0,0.0,0.0,2.01,2.9,0.0
20230102:0811,0.0,0.0,0.0,0.0,1.65,2.9,0.0
20230102:0911,0.0,4.27,1.2,2.52,1.37,2.83,0.0
20230102:1011,0.0,16.02,4.5,8.04,1.81,2.76,0.0
20230102:1111,0.0,22.78,6.4,11.81,2.57,2.97,0.0
20230102:1211,0.0,25.28,7.1,13.56,3.29,2.76,0.0
20230102:1311,95.99,49.86,19.7,13.11,4.02,2.55,0.0
20230102:1411,204.83,69.39,15.0,10.51,4.49,2.48,0.0
20230102:1511,224.15,65.63,7.2,5.98,4.67,2.55,0.0
20230102:1611,0.0,0.0,0.0,0.0,4.17,3.03,0.0
20230102:1711,0.0,0.0,0.0,0.0,3.71,3.52,0.0
20230102:1811,0.0,0.0,0.0,0.0,3.49,3.86,0.0
20230102:1911,0.0,0.0,0.0,0.0,3.79,4.07,0.0
20230102:2011,0.0,0.0,0.0,0.0,4.16,4.55,0.0
20230102:2111,0.0,0.0,0.0,0.0,4.81,5.24,0.0
20230102:2211,0.0,0.0,0.0,0.0,5.55,6.07,0.0
20230102:2311,0.0,0.0,0.0,0.0,6.31,6.55,0.0
20230103:0011,0.0,0.0,0.0,0.0,7.14,7.03,0.0
20230103:0111,0.0,0.0,0.0,0.0,7.32,7.86,0.0
20230103:0211,0.0,0.0,0.0,0.0,7.69,8.21,0.0
20230103:0311,0.0,0.0,0.0,0.0,7.95,8.48,0.0
20230103:0411,0.0,0.0,0.0,0.0,8.2,8.62,0.0
20230103:0511,0.0,0.0,0.0,0.0,8.82,7.31,0.0
20230103:0611,0.0,0.0,0.0,0.0,9.33,6.0,0.0
20230103:0711,0.0,0.0,0.0,0.0,9.67,5.79,0.0
20230103:0811,0.0,0.0,0.0,0.0,9.46,5.38,0.0
20230103:0911,0.0,4.27,1.2,2.56,9.32,5.86,0.0
20230103:1011,0.0,19.58,5.5,8.09,9.3,6.07,0.0
20230103:1111,0.0,25.63,7.2,11.88,9.63,6.9,0.0
20230103:1211,0.0,8.54,2.4,13.64,9.94,8.21,0.0
20230103:1311,5.85,45.77,9.7,13.21,10.53,7.72,0.0
20230103:1411,0.0,23.93,4.8,10.62,11.48,6.69,0.0
20230103:1511,16.86,21.31,3.8,6.11,12.04,6.21,0.0
20230103:1611,0.0,0.0,0.0,0.0,12.17,6.21,0.0
20230103:1711,0.0,0.0,0.0,0.0,12.1,6.34,0.0
20230103:1811,0.0,0.0,0.0,0.0,12.02,5.93,0.0
20230103:1911,0.0,0.0,0.0,0.0,12.15,6.9,0.0
20230103:2011,0.0,0.0,0.0,0.0,12.24,7.72,0.0
20230103:2111,0.0,0.0,0.0,0.0,12.42,8.14,0.0
20230103:2211,0.0,0.0,0.0,0.0,12.64,8.21,0.0
20230103:2311,0.0,0.0,0.0,0.0,12.53,8.07,0.0
20230104:0011,0.0,0.0,0.0,0.0,12.28,8.21,0.0
