Latitude (decimal degrees):	53.424
Longitude (decimal degrees):	-6.252
Elevation (m):	61
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,0.0,6.2,2.76,0.0
20230101:0111,0.0,0.0,0.0,0.0,6.08,3.31,0.0
20230101:0211,0.0,0.0,0.0,0.0,6.01,4.21,0.0
20230101:0311,0.0,0.0,0.0,0.0,6.14,4.62,0.0
20230101:0411,0.0,0.0,0.0,0.0,6.15,4.55,0.0
20230101:0511,0.0,0.0,0.0,0.0,6.24,4.34,0.0
20230101:0611,0.0,0.0,0.0,0.0,6.24,4.07,0.0
20230101:0711,0.0,0.0,0.0,0.0,6.33,3.1,0.0
20230101:0811,0.0,0.0,0.0,0.0,6.12,3.45,0.0
20230101:0911,27.22,12.81,0.2,2.49,6.06,3.72,0.0
20230101:1011,7.8,43.38,0.63,7.99,6.14,4.21,0.0
20230101:1111,163.82,116.42,1.85,11.75,6.54,4.34,0.0
20230101:1211,0.0,48.49,0.7,13.47,7.03,4.34,0.0
20230101:1311,0.0,48.49,0.7,13.01,7.1,4.0,0.0
20230101:1411,0.0,41.97,0.6,10.4,6.91,3.52,0.0
20230101:1511,0.0,7.46,0.11,5.86,6.61,3.38,0.0
20230101:1611,0.0,0.0,0.0,0.0,6.03,3.03,0.0
20230101:1711,0.0,0.0,0.0,0.0,5.35,3.03,0.0
20230101:1811,0.0,0.0,0.0,0.0,4.7,3.1,0.0
20230101:1911,0.0,0.0,0.0,0.0,4.81,2.9,0.0
20230101:2011,0.0,0.0,0.0,0.0,4.34,2.76,0.0
20230101:2111,0.0,0.0,0.0,0.0,4.32,2.69,0.0
20230101:2211,0.0,0.0,0.0,0.0,3.96,2.9,0.0
20230101:2311,0.0,0.0,0.0,0.0,3.88,3.03,0.0
20230102:0011,0.0,0.0,0.0,0.0,3.93,3.24,0.0
20230102:0111,0.0,0.0,0.0,0.0,3.88,3.45,0.0
20230102:0211,0.0,0.0,0.0,0.0,3.88,3.66,0.0
20230102:0311,0.0,0.0,0.0,0.0,3.61,3.59,0.0
20230102:0411,0.0,0.0,0.0,0.0,3.4,3.45,0.0
20230102:0511,0.0,0.0,0.0,0.0,3.05,3.24,0.0
20230102:0611,0.0,0.0,0.0,0.0,2.67,3.17,0.0
20230102:0711,0.0,0.0,0.0,0.0,2.01,2.9,0.0
20230102:0811,0.0,0.0,0.0,0.0,1.65,2.9,0.0
20230102:0911,26.88,12.79,0.2,2.52,1.37,2.83,0.0
20230102:1011,240.39,85.03,1.43,8.04,1.81,2.76,0.0
20230102:1111,341.84,115.23,2.32,11.81,2.57,2.97,0.0
20230102:1211,390.25,126.06,2.73,13.56,3.29,2.76,0.0
20230102:1311,384.57,122.17,2.64,13.11,4.02,2.55,0.0
20230102:1411,313.23,103.31,2.01,10.51,4.49,2.48,0.0
20230102:1511,182.38,64.45,0.96,5.98,4.67,2.55,0.0
20230102:1611,0.0,0.0,0.0,0.0,4.17,3.03,0.0
20230102:1711,0.0,0.0,0.0,0.0,3.71,3.52,0.0
20230102:1811,0.0,0.0,0.0,0.0,3.49,3.86,0.0
20230102:1911,0.0,0.0,0.0,0.0,3.79,4.07,0.0
20230102:2011,0.0,0.0,0.0,0.0,4.16,4.55,0.0
20230102:2111,0.0,0.0,0.0,0.0,4.81,5.24,0.0
20230102:2211,0.0,0.0,0.0,0.0,5.55,6.07,0.0
20230102:2311,0.0,0.0,0.0,0.0,6.31,6.55,0.0
20230103:0011,0.0,0.0,0.0,0.0,7.14,7.03,0.0
20230103:0111,0.0,0.0,0.0,0.0,7.32,7.86,0.0
20230103:0211,0.0,0.0,0.0,0.0,7.69,8.21,0.0
20230103:0311,0.0,0.0,0.0,0.0,7.95,8.48,0.0
20230103:0411,0.0,0.0,0.0,0.0,8.2,8.62,0.0
20230103:0511,0.0,0.0,0.0,0.0,8.82,7.31,0.0
20230103:0611,0.0,0.0,0.0,0.0,9.33,6.0,0.0
20230103:0711,0.0,0.0,0.0,0.0,9.67,5.79,0.0
20230103:0811,0.0,0.0,0.0,0.0,9.46,5.38,0.0
20230103:0911,8.82,11.71,0.17,2.56,9.32,5.86,0.0
20230103:1011,42.38,60.53,0.88,8.09,9.3,6.07,0.0
20230103:1111,9.36,68.86,1.0,11.88,9.63,6.9,0.0
20230103:1211,0.0,22.38,0.32,13.64,9.94,8.21,0.0
20230103:1311,23.72,87.74,1.3,13.21,10.53,7.72,0.0
20230103:1411,0.0,44.76,0.64,10.62,11.48,6.69,0.0
20230103:1511,13.8,35.28,0.51,6.11,12.04,6.21,0.0
20230103:1611,0.0,0.0,0.0,0.0,12.17,6.21,0.0
20230103:1711,0.0,0.0,0.0,0.0,12.1,6.34,0.0
20230103:1811,0.0,0.0,0.0,0.0,12.02,5.93,0.0
20230103:1911,0.0,0.0,0.0,0.0,12.15,6.9,0.0
20230103:2011,0.0,0.0,0.0,0.0,12.24,7.72,0.0
20230103:2111,0.0,0.0,0.0,0.0,12.42,8.14,0.0
20230103:2211,0.0,0.0,0.0,0.0,12.64,8.21,0.0
20230103:2311,0.0,0.0,0.0,0.0,12.53,8.07,0.0
20230104:0011,0.0,0.0,0.0,0.0,12.28,8.21,0.0
